[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000328s ]
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.004454s ]
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.018326s ]
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.012098s ]
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | SQL: SELECT * FROM `xt_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.001772s ]
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | SQL: SELECT * FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000672s ]
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 175 行.
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | NOTIC: [8] Undefined offset: 2 CommonAction.class.php 第 176 行.
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | NOTIC: [8] Undefined offset: 3 CommonAction.class.php 第 177 行.
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | SQL: UPDATE `xt_fck` SET `day_feng`=0,_times=1412611200 WHERE _times !=1412611200 [ RunTime:0.000639s ]
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | NOTIC: [2] mysql_num_rows() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 132 行.
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | NOTIC: [2] mysql_free_result() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 97 行.
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | SQL: SHOW COLUMNS FROM `xt_bonus` [ RunTime:0.007419s ]
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | SQL: SELECT SUM(b1) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1412611200) AND (`e_date` < 1412697600)  ) LIMIT 1   [ RunTime:0.099813s ]
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | SQL: SELECT SUM(b2) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1412611200) AND (`e_date` < 1412697600)  ) LIMIT 1   [ RunTime:0.000554s ]
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | SQL: SELECT SUM(b3) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1412611200) AND (`e_date` < 1412697600)  ) LIMIT 1   [ RunTime:0.000405s ]
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | SQL: SELECT SUM(b4) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1412611200) AND (`e_date` < 1412697600)  ) LIMIT 1   [ RunTime:0.000486s ]
